epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,7772.89,1.56881,1.12877,0.94424,0.60473,0.52716,0.55323,0.3879,1.56651,1.17596,0.96555,9.51384e-05,9.51384e-05,9.51384e-05
129,7833.14,1.58363,1.13047,0.94142,0.62049,0.52453,0.55376,0.38841,1.56799,1.17187,0.96648,9.12576e-05,9.12576e-05,9.12576e-05
130,7893.07,1.56065,1.09709,0.94743,0.60989,0.5382,0.56175,0.39658,1.56306,1.16955,0.96576,8.73768e-05,8.73768e-05,8.73768e-05
131,7952.24,1.56011,1.11653,0.93851,0.65452,0.52903,0.56775,0.39859,1.56521,1.1656,0.96629,8.3496e-05,8.3496e-05,8.3496e-05
132,8011.14,1.56757,1.10248,0.93917,0.64115,0.52057,0.55785,0.39381,1.56668,1.16966,0.96619,7.96152e-05,7.96152e-05,7.96152e-05
133,8070.34,1.58431,1.10757,0.94372,0.62787,0.49868,0.54757,0.38426,1.56461,1.18233,0.96774,7.57344e-05,7.57344e-05,7.57344e-05
134,8130.43,1.59067,1.12096,0.94213,0.6437,0.51909,0.55402,0.38887,1.56283,1.15909,0.96884,7.18536e-05,7.18536e-05,7.18536e-05
135,8189.85,1.55451,1.09321,0.94412,0.62006,0.52106,0.55369,0.38784,1.56653,1.17418,0.96867,6.79728e-05,6.79728e-05,6.79728e-05
136,8248.85,1.5538,1.08891,0.94328,0.6464,0.51086,0.55759,0.3918,1.56074,1.17123,0.96852,6.4092e-05,6.4092e-05,6.4092e-05
137,8309.03,1.57204,1.10398,0.94567,0.64272,0.52912,0.56187,0.39109,1.56359,1.15671,0.96585,6.02112e-05,6.02112e-05,6.02112e-05
138,8369.59,1.55914,1.0948,0.94004,0.65537,0.51034,0.55286,0.38501,1.5628,1.1702,0.96616,5.63304e-05,5.63304e-05,5.63304e-05
139,8429.14,1.56987,1.10325,0.94424,0.64231,0.53042,0.56514,0.39381,1.55919,1.16243,0.96566,5.24496e-05,5.24496e-05,5.24496e-05
140,8489.66,1.56269,1.11377,0.94305,0.63989,0.52319,0.56149,0.39124,1.55269,1.15564,0.96517,4.85688e-05,4.85688e-05,4.85688e-05
141,8570.22,1.63967,1.12477,0.92525,0.5741,0.53217,0.54928,0.38155,1.57395,1.17879,0.97033,4.4688e-05,4.4688e-05,4.4688e-05
142,8627.71,1.62148,1.10137,0.92617,0.60478,0.5179,0.54458,0.37714,1.57142,1.17998,0.96945,4.08072e-05,4.08072e-05,4.08072e-05
143,8684.8,1.62172,1.09988,0.9229,0.59158,0.52707,0.54503,0.37968,1.57893,1.17918,0.97059,3.69264e-05,3.69264e-05,3.69264e-05
144,8741.66,1.61577,1.09675,0.92405,0.59263,0.52232,0.54317,0.3761,1.57977,1.18494,0.97115,3.30456e-05,3.30456e-05,3.30456e-05
145,8799.89,1.62048,1.09765,0.92353,0.60798,0.52223,0.54916,0.38137,1.57908,1.17598,0.97085,2.91648e-05,2.91648e-05,2.91648e-05
146,8857.89,1.59866,1.09366,0.92037,0.59794,0.53426,0.5495,0.38241,1.57841,1.17373,0.97107,2.5284e-05,2.5284e-05,2.5284e-05
147,8914.87,1.59814,1.07958,0.92122,0.58462,0.51652,0.53971,0.37746,1.57859,1.1775,0.96959,2.14032e-05,2.14032e-05,2.14032e-05
148,8971.53,1.60679,1.07889,0.91789,0.5971,0.51578,0.54352,0.37741,1.58236,1.174,0.97132,1.75224e-05,1.75224e-05,1.75224e-05
149,9028.46,1.59119,1.07148,0.91906,0.56853,0.52363,0.54371,0.37856,1.57807,1.16713,0.96968,1.36416e-05,1.36416e-05,1.36416e-05
150,9085.04,1.58179,1.05791,0.91792,0.59366,0.52043,0.54353,0.37874,1.57716,1.16855,0.96954,9.7608e-06,9.7608e-06,9.7608e-06
